event_id,weeks_before,candidate_release_utc,status,reason
FOMC_2025_01_29,9,2024-11-27 19:00:00+00:00,valid_not_selected,
FOMC_2025_01_29,10,2024-11-20 19:00:00+00:00,valid_not_selected,
FOMC_2025_01_29,11,2024-11-13 19:00:00+00:00,valid_not_selected,
FOMC_2025_01_29,12,2024-11-06 19:00:00+00:00,valid_not_selected,
FOMC_2025_03_19,1,2025-03-12 18:00:00+00:00,selected,
FOMC_2025_03_19,2,2025-03-05 19:00:00+00:00,selected,
FOMC_2025_03_19,3,2025-02-26 19:00:00+00:00,selected,
FOMC_2025_03_19,4,2025-02-19 19:00:00+00:00,selected,
FOMC_2025_03_19,5,2025-02-12 19:00:00+00:00,valid_not_selected,
FOMC_2025_03_19,6,2025-02-05 19:00:00+00:00,valid_not_selected,
FOMC_2025_03_19,7,2025-01-29 19:00:00+00:00,valid_not_selected,
FOMC_2025_03_19,8,2025-01-22 19:00:00+00:00,valid_not_selected,
FOMC_2025_03_19,9,2025-01-15 19:00:00+00:00,valid_not_selected,
FOMC_2025_03_19,10,2025-01-08 19:00:00+00:00,valid_not_selected,
FOMC_2025_03_19,11,2025-01-01 19:00:00+00:00,rejected,stale boundary price by 0 days 18:45:00
FOMC_2025_03_19,12,2024-12-25 19:00:00+00:00,rejected,stale boundary price by 0 days 21:45:00
FOMC_2025_05_07,1,2025-04-30 18:00:00+00:00,selected,
FOMC_2025_05_07,2,2025-04-23 18:00:00+00:00,selected,
FOMC_2025_05_07,3,2025-04-16 18:00:00+00:00,selected,
FOMC_2025_05_07,4,2025-04-09 18:00:00+00:00,selected,
FOMC_2025_05_07,5,2025-04-02 18:00:00+00:00,valid_not_selected,
FOMC_2025_05_07,6,2025-03-26 18:00:00+00:00,valid_not_selected,
FOMC_2025_05_07,7,2025-03-19 18:00:00+00:00,valid_not_selected,
FOMC_2025_05_07,8,2025-03-12 18:00:00+00:00,valid_not_selected,
FOMC_2025_05_07,9,2025-03-05 19:00:00+00:00,valid_not_selected,
FOMC_2025_05_07,10,2025-02-26 19:00:00+00:00,valid_not_selected,
FOMC_2025_05_07,11,2025-02-19 19:00:00+00:00,valid_not_selected,
FOMC_2025_05_07,12,2025-02-12 19:00:00+00:00,valid_not_selected,
FOMC_2025_06_18,1,2025-06-11 18:00:00+00:00,selected,
FOMC_2025_06_18,2,2025-06-04 18:00:00+00:00,selected,
FOMC_2025_06_18,3,2025-05-28 18:00:00+00:00,selected,
FOMC_2025_06_18,4,2025-05-21 18:00:00+00:00,selected,
FOMC_2025_06_18,5,2025-05-14 18:00:00+00:00,valid_not_selected,
FOMC_2025_06_18,6,2025-05-07 18:00:00+00:00,valid_not_selected,
FOMC_2025_06_18,7,2025-04-30 18:00:00+00:00,valid_not_selected,
FOMC_2025_06_18,8,2025-04-23 18:00:00+00:00,valid_not_selected,
FOMC_2025_06_18,9,2025-04-16 18:00:00+00:00,valid_not_selected,
FOMC_2025_06_18,10,2025-04-09 18:00:00+00:00,valid_not_selected,
FOMC_2025_06_18,11,2025-04-02 18:00:00+00:00,valid_not_selected,
FOMC_2025_06_18,12,2025-03-26 18:00:00+00:00,valid_not_selected,
FOMC_2025_07_30,1,2025-07-23 18:00:00+00:00,selected,
FOMC_2025_07_30,2,2025-07-16 18:00:00+00:00,selected,
FOMC_2025_07_30,3,2025-07-09 18:00:00+00:00,selected,
FOMC_2025_07_30,4,2025-07-02 18:00:00+00:00,selected,
FOMC_2025_07_30,5,2025-06-25 18:00:00+00:00,valid_not_selected,
FOMC_2025_07_30,6,2025-06-18 18:00:00+00:00,valid_not_selected,
FOMC_2025_07_30,7,2025-06-11 18:00:00+00:00,valid_not_selected,
FOMC_2025_07_30,8,2025-06-04 18:00:00+00:00,valid_not_selected,
FOMC_2025_07_30,9,2025-05-28 18:00:00+00:00,valid_not_selected,
FOMC_2025_07_30,10,2025-05-21 18:00:00+00:00,valid_not_selected,
FOMC_2025_07_30,11,2025-05-14 18:00:00+00:00,valid_not_selected,
FOMC_2025_07_30,12,2025-05-07 18:00:00+00:00,valid_not_selected,
FOMC_2025_09_17,1,2025-09-10 18:00:00+00:00,selected,
FOMC_2025_09_17,2,2025-09-03 18:00:00+00:00,selected,
FOMC_2025_09_17,3,2025-08-27 18:00:00+00:00,selected,
FOMC_2025_09_17,4,2025-08-20 18:00:00+00:00,selected,
FOMC_2025_09_17,5,2025-08-13 18:00:00+00:00,valid_not_selected,
FOMC_2025_09_17,6,2025-08-06 18:00:00+00:00,valid_not_selected,
FOMC_2025_09_17,7,2025-07-30 18:00:00+00:00,valid_not_selected,
FOMC_2025_09_17,8,2025-07-23 18:00:00+00:00,valid_not_selected,
FOMC_2025_09_17,9,2025-07-16 18:00:00+00:00,valid_not_selected,
FOMC_2025_09_17,10,2025-07-09 18:00:00+00:00,valid_not_selected,
FOMC_2025_09_17,11,2025-07-02 18:00:00+00:00,valid_not_selected,
FOMC_2025_09_17,12,2025-06-25 18:00:00+00:00,valid_not_selected,
FOMC_2025_10_29,1,2025-10-22 18:00:00+00:00,selected,
FOMC_2025_10_29,2,2025-10-15 18:00:00+00:00,selected,
FOMC_2025_10_29,3,2025-10-08 18:00:00+00:00,selected,
FOMC_2025_10_29,4,2025-10-01 18:00:00+00:00,selected,
FOMC_2025_10_29,5,2025-09-24 18:00:00+00:00,valid_not_selected,
FOMC_2025_10_29,6,2025-09-17 18:00:00+00:00,valid_not_selected,
FOMC_2025_10_29,7,2025-09-10 18:00:00+00:00,valid_not_selected,
FOMC_2025_10_29,8,2025-09-03 18:00:00+00:00,valid_not_selected,
FOMC_2025_10_29,9,2025-08-27 18:00:00+00:00,valid_not_selected,
FOMC_2025_10_29,10,2025-08-20 18:00:00+00:00,valid_not_selected,
FOMC_2025_10_29,11,2025-08-13 18:00:00+00:00,valid_not_selected,
FOMC_2025_10_29,12,2025-08-06 18:00:00+00:00,valid_not_selected,
FOMC_2025_12_10,1,2025-12-03 19:00:00+00:00,selected,
FOMC_2025_12_10,2,2025-11-26 19:00:00+00:00,selected,
FOMC_2025_12_10,3,2025-11-19 19:00:00+00:00,selected,
FOMC_2025_12_10,4,2025-11-12 19:00:00+00:00,selected,
FOMC_2025_12_10,5,2025-11-05 19:00:00+00:00,valid_not_selected,
FOMC_2025_12_10,6,2025-10-29 18:00:00+00:00,valid_not_selected,
FOMC_2025_12_10,7,2025-10-22 18:00:00+00:00,valid_not_selected,
FOMC_2025_12_10,8,2025-10-15 18:00:00+00:00,valid_not_selected,
FOMC_2025_12_10,9,2025-10-08 18:00:00+00:00,valid_not_selected,
FOMC_2025_12_10,10,2025-10-01 18:00:00+00:00,valid_not_selected,
FOMC_2025_12_10,11,2025-09-24 18:00:00+00:00,valid_not_selected,
FOMC_2025_12_10,12,2025-09-17 18:00:00+00:00,valid_not_selected,
