matched_event_id,asset,control_release_utc,weeks_before,jump_bps
FOMC_2024_03_20,XAUUSD,2024-02-28 19:00:00+00:00,3,2.855391663442494
FOMC_2024_03_20,XAUUSD,2024-02-21 19:00:00+00:00,4,10.446839372423819
FOMC_2024_03_20,XAGUSD,2024-03-13 18:00:00+00:00,1,4.007534217863287
FOMC_2024_03_20,XAGUSD,2024-03-06 19:00:00+00:00,2,34.376392858310524
FOMC_2024_03_20,XAGUSD,2024-02-28 19:00:00+00:00,3,1.7865916345703672
FOMC_2024_03_20,XAGUSD,2024-02-21 19:00:00+00:00,4,20.602747013784118
FOMC_2024_03_20,SPXUSD,2024-03-13 18:00:00+00:00,1,4.639709817428488
FOMC_2024_03_20,SPXUSD,2024-03-06 19:00:00+00:00,2,3.9184343448364087
FOMC_2024_03_20,SPXUSD,2024-02-28 19:00:00+00:00,3,6.37831677824068
FOMC_2024_03_20,SPXUSD,2024-02-21 19:00:00+00:00,4,7.507059495876778
FOMC_2024_03_20,NSXUSD,2024-03-13 18:00:00+00:00,1,6.44572611108102
FOMC_2024_03_20,NSXUSD,2024-03-06 19:00:00+00:00,2,2.0944082591590716
FOMC_2024_03_20,NSXUSD,2024-02-28 19:00:00+00:00,3,3.8600259764181386
FOMC_2024_03_20,NSXUSD,2024-02-21 19:00:00+00:00,4,7.694359517930302
FOMC_2024_05_01,EURUSD,2024-04-24 18:00:00+00:00,1,6.453936423591741
FOMC_2024_05_01,EURUSD,2024-04-17 18:00:00+00:00,2,2.1594115218101724
FOMC_2024_05_01,EURUSD,2024-04-10 18:00:00+00:00,3,4.2855280239999445
FOMC_2024_05_01,EURUSD,2024-04-03 18:00:00+00:00,4,4.063463974199504
FOMC_2024_05_01,GBPUSD,2024-04-24 18:00:00+00:00,1,6.34668166184841
FOMC_2024_05_01,GBPUSD,2024-04-17 18:00:00+00:00,2,0.7240051970669139
FOMC_2024_05_01,GBPUSD,2024-04-10 18:00:00+00:00,3,5.028394571525972
FOMC_2024_05_01,GBPUSD,2024-04-03 18:00:00+00:00,4,3.0844791626996377
FOMC_2024_05_01,AUDUSD,2024-04-24 18:00:00+00:00,1,5.699190715169197
FOMC_2024_05_01,AUDUSD,2024-04-17 18:00:00+00:00,2,8.567178884867028
FOMC_2024_05_01,AUDUSD,2024-04-10 18:00:00+00:00,3,8.30245585121436
FOMC_2024_05_01,AUDUSD,2024-04-03 18:00:00+00:00,4,7.009737726645517
FOMC_2024_05_01,NZDUSD,2024-04-24 18:00:00+00:00,1,5.735299236191085
