event_id,asset,weeks_before,control_release_utc,status,reason
FOMC_2023_03_22,NZDUSD,12,2022-12-28 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_03_22,NZDUSD,0,2023-03-22 18:00:00+00:00,event_rejected,missing/nonpositive observed quote
FOMC_2023_03_22,USDJPY,1,2023-03-15 18:00:00+00:00,rejected,missing/nonpositive observed quote
FOMC_2023_03_22,USDJPY,2,2023-03-08 19:00:00+00:00,rejected,missing/nonpositive observed quote
FOMC_2023_03_22,USDJPY,3,2023-03-01 19:00:00+00:00,rejected,missing/nonpositive observed quote
FOMC_2023_03_22,USDJPY,4,2023-02-22 19:00:00+00:00,rejected,missing/nonpositive observed quote
FOMC_2023_03_22,USDJPY,5,2023-02-15 19:00:00+00:00,selected,
FOMC_2023_03_22,USDJPY,6,2023-02-08 19:00:00+00:00,selected,
FOMC_2023_03_22,USDJPY,7,2023-02-01 19:00:00+00:00,rejected,FOMC date
FOMC_2023_03_22,USDJPY,8,2023-01-25 19:00:00+00:00,selected,
FOMC_2023_03_22,USDJPY,9,2023-01-18 19:00:00+00:00,selected,
FOMC_2023_03_22,USDJPY,10,2023-01-11 19:00:00+00:00,valid_not_selected,
FOMC_2023_03_22,USDJPY,11,2023-01-04 19:00:00+00:00,valid_not_selected,
FOMC_2023_03_22,USDJPY,12,2022-12-28 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_03_22,USDJPY,0,2023-03-22 18:00:00+00:00,event_rejected,missing/nonpositive observed quote
FOMC_2023_03_22,USDCHF,1,2023-03-15 18:00:00+00:00,rejected,missing/nonpositive observed quote
FOMC_2023_03_22,USDCHF,2,2023-03-08 19:00:00+00:00,rejected,missing/nonpositive observed quote
FOMC_2023_03_22,USDCHF,3,2023-03-01 19:00:00+00:00,rejected,missing/nonpositive observed quote
FOMC_2023_03_22,USDCHF,4,2023-02-22 19:00:00+00:00,rejected,missing/nonpositive observed quote
FOMC_2023_03_22,USDCHF,5,2023-02-15 19:00:00+00:00,selected,
FOMC_2023_03_22,USDCHF,6,2023-02-08 19:00:00+00:00,selected,
FOMC_2023_03_22,USDCHF,7,2023-02-01 19:00:00+00:00,rejected,FOMC date
FOMC_2023_03_22,USDCHF,8,2023-01-25 19:00:00+00:00,selected,
FOMC_2023_03_22,USDCHF,9,2023-01-18 19:00:00+00:00,selected,
FOMC_2023_03_22,USDCHF,10,2023-01-11 19:00:00+00:00,valid_not_selected,
FOMC_2023_03_22,USDCHF,11,2023-01-04 19:00:00+00:00,valid_not_selected,
FOMC_2023_03_22,USDCHF,12,2022-12-28 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_03_22,USDCHF,0,2023-03-22 18:00:00+00:00,event_rejected,missing/nonpositive observed quote
FOMC_2023_03_22,USDCAD,1,2023-03-15 18:00:00+00:00,rejected,missing/nonpositive observed quote
FOMC_2023_03_22,USDCAD,2,2023-03-08 19:00:00+00:00,rejected,missing/nonpositive observed quote
FOMC_2023_03_22,USDCAD,3,2023-03-01 19:00:00+00:00,rejected,missing/nonpositive observed quote
FOMC_2023_03_22,USDCAD,4,2023-02-22 19:00:00+00:00,rejected,missing/nonpositive observed quote
FOMC_2023_03_22,USDCAD,5,2023-02-15 19:00:00+00:00,selected,
FOMC_2023_03_22,USDCAD,6,2023-02-08 19:00:00+00:00,selected,
FOMC_2023_03_22,USDCAD,7,2023-02-01 19:00:00+00:00,rejected,FOMC date
FOMC_2023_03_22,USDCAD,8,2023-01-25 19:00:00+00:00,selected,
FOMC_2023_03_22,USDCAD,9,2023-01-18 19:00:00+00:00,selected,
FOMC_2023_03_22,USDCAD,10,2023-01-11 19:00:00+00:00,valid_not_selected,
FOMC_2023_03_22,USDCAD,11,2023-01-04 19:00:00+00:00,valid_not_selected,
FOMC_2023_03_22,USDCAD,12,2022-12-28 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_03_22,USDCAD,0,2023-03-22 18:00:00+00:00,event_rejected,missing/nonpositive observed quote
FOMC_2023_03_22,EURJPY,1,2023-03-15 18:00:00+00:00,rejected,missing/nonpositive observed quote
FOMC_2023_03_22,EURJPY,2,2023-03-08 19:00:00+00:00,rejected,missing/nonpositive observed quote
FOMC_2023_03_22,EURJPY,3,2023-03-01 19:00:00+00:00,rejected,missing/nonpositive observed quote
FOMC_2023_03_22,EURJPY,4,2023-02-22 19:00:00+00:00,rejected,missing/nonpositive observed quote
FOMC_2023_03_22,EURJPY,5,2023-02-15 19:00:00+00:00,selected,
FOMC_2023_03_22,EURJPY,6,2023-02-08 19:00:00+00:00,selected,
FOMC_2023_03_22,EURJPY,7,2023-02-01 19:00:00+00:00,rejected,FOMC date
FOMC_2023_03_22,EURJPY,8,2023-01-25 19:00:00+00:00,selected,
FOMC_2023_03_22,EURJPY,9,2023-01-18 19:00:00+00:00,selected,
FOMC_2023_03_22,EURJPY,10,2023-01-11 19:00:00+00:00,valid_not_selected,
FOMC_2023_03_22,EURJPY,11,2023-01-04 19:00:00+00:00,valid_not_selected,
FOMC_2023_03_22,EURJPY,12,2022-12-28 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_03_22,EURJPY,0,2023-03-22 18:00:00+00:00,event_rejected,missing/nonpositive observed quote
FOMC_2023_03_22,XAUUSD,1,2023-03-15 18:00:00+00:00,rejected,missing/nonpositive observed quote
FOMC_2023_03_22,XAUUSD,2,2023-03-08 19:00:00+00:00,selected,
FOMC_2023_03_22,XAUUSD,3,2023-03-01 19:00:00+00:00,rejected,missing/nonpositive observed quote
FOMC_2023_03_22,XAUUSD,4,2023-02-22 19:00:00+00:00,rejected,missing/nonpositive observed quote
FOMC_2023_03_22,XAUUSD,5,2023-02-15 19:00:00+00:00,selected,
FOMC_2023_03_22,XAUUSD,6,2023-02-08 19:00:00+00:00,selected,
FOMC_2023_03_22,XAUUSD,7,2023-02-01 19:00:00+00:00,rejected,FOMC date
FOMC_2023_03_22,XAUUSD,8,2023-01-25 19:00:00+00:00,selected,
FOMC_2023_03_22,XAUUSD,9,2023-01-18 19:00:00+00:00,valid_not_selected,
FOMC_2023_03_22,XAUUSD,10,2023-01-11 19:00:00+00:00,valid_not_selected,
FOMC_2023_03_22,XAUUSD,11,2023-01-04 19:00:00+00:00,valid_not_selected,
FOMC_2023_03_22,XAUUSD,12,2022-12-28 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_03_22,XAUUSD,0,2023-03-22 18:00:00+00:00,event_rejected,missing/nonpositive observed quote
FOMC_2023_03_22,XAGUSD,1,2023-03-15 18:00:00+00:00,rejected,missing/nonpositive observed quote
FOMC_2023_03_22,XAGUSD,2,2023-03-08 19:00:00+00:00,rejected,missing/nonpositive observed quote
FOMC_2023_03_22,XAGUSD,3,2023-03-01 19:00:00+00:00,rejected,missing/nonpositive observed quote
FOMC_2023_03_22,XAGUSD,4,2023-02-22 19:00:00+00:00,rejected,missing/nonpositive observed quote
FOMC_2023_03_22,XAGUSD,5,2023-02-15 19:00:00+00:00,selected,
FOMC_2023_03_22,XAGUSD,6,2023-02-08 19:00:00+00:00,selected,
FOMC_2023_03_22,XAGUSD,7,2023-02-01 19:00:00+00:00,rejected,FOMC date
FOMC_2023_03_22,XAGUSD,8,2023-01-25 19:00:00+00:00,selected,
FOMC_2023_03_22,XAGUSD,9,2023-01-18 19:00:00+00:00,selected,
FOMC_2023_03_22,XAGUSD,10,2023-01-11 19:00:00+00:00,valid_not_selected,
FOMC_2023_03_22,XAGUSD,11,2023-01-04 19:00:00+00:00,valid_not_selected,
FOMC_2023_03_22,XAGUSD,12,2022-12-28 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_03_22,XAGUSD,0,2023-03-22 18:00:00+00:00,event_rejected,missing/nonpositive observed quote
FOMC_2023_03_22,SPXUSD,1,2023-03-15 18:00:00+00:00,rejected,missing/nonpositive observed quote
FOMC_2023_03_22,SPXUSD,2,2023-03-08 19:00:00+00:00,rejected,missing/nonpositive observed quote
FOMC_2023_03_22,SPXUSD,3,2023-03-01 19:00:00+00:00,rejected,missing/nonpositive observed quote
FOMC_2023_03_22,SPXUSD,4,2023-02-22 19:00:00+00:00,rejected,missing/nonpositive observed quote
FOMC_2023_03_22,SPXUSD,5,2023-02-15 19:00:00+00:00,selected,
FOMC_2023_03_22,SPXUSD,6,2023-02-08 19:00:00+00:00,selected,
FOMC_2023_03_22,SPXUSD,7,2023-02-01 19:00:00+00:00,rejected,FOMC date
FOMC_2023_03_22,SPXUSD,8,2023-01-25 19:00:00+00:00,selected,
FOMC_2023_03_22,SPXUSD,9,2023-01-18 19:00:00+00:00,selected,
FOMC_2023_03_22,SPXUSD,10,2023-01-11 19:00:00+00:00,valid_not_selected,
FOMC_2023_03_22,SPXUSD,11,2023-01-04 19:00:00+00:00,valid_not_selected,
FOMC_2023_03_22,SPXUSD,12,2022-12-28 19:00:00+00:00,rejected,missing exact quote boundary
